,index,qtype,story,perceivers,story_with_perceivers
0,0,second_order_0_no_tom,"['Elizabeth entered the hallway', 'Benjamin entered the hallway', 'The persimmon is in the box', 'The box is in the hallway', 'Elizabeth moved the persimmon to the treasure chest', 'The treasure chest is in the hallway', 'Benjamin exited the hallway', 'Elizabeth exited the hallway', 'Benjamin entered the office', 'Benjamin dislikes the turnip']","[['Elizabeth'], ['Benjamin', 'Elizabeth'], ['Elizabeth', 'Benjamin'], ['Elizabeth', 'Benjamin'], ['Elizabeth', 'Benjamin'], ['Elizabeth', 'Benjamin'], ['Benjamin', 'Elizabeth'], ['Elizabeth'], ['Benjamin'], ['Benjamin']]","[{'Elizabeth entered the hallway': ['Elizabeth']}, {'Benjamin entered the hallway': ['Benjamin', 'Elizabeth']}, {'The persimmon is in the box': ['Elizabeth', 'Benjamin']}, {'The box is in the hallway': ['Elizabeth', 'Benjamin']}, {'Elizabeth moved the persimmon to the treasure chest': ['Elizabeth', 'Benjamin']}, {'The treasure chest is in the hallway': ['Elizabeth', 'Benjamin']}, {'Benjamin exited the hallway': ['Benjamin', 'Elizabeth']}, {'Elizabeth exited the hallway': ['Elizabeth']}, {'Benjamin entered the office': ['Benjamin']}, {'Benjamin dislikes the turnip': ['Benjamin']}]"
1,1,first_order_1_no_tom,"['James entered the TV room', 'Lily entered the TV room', 'The skirt is in the suitcase', 'The suitcase is in the TV room', 'Lily moved the skirt to the envelope', 'The envelope is in the TV room', 'Olivia loves the skirt', 'James exited the TV room']","[['James'], ['Lily', 'James'], ['James', 'Lily'], ['James', 'Lily'], ['Lily', 'James'], ['James', 'Lily'], ['Olivia'], ['James', 'Lily', 'Olivia']]","[{'James entered the TV room': ['James']}, {'Lily entered the TV room': ['Lily', 'James']}, {'The skirt is in the suitcase': ['James', 'Lily']}, {'The suitcase is in the TV room': ['James', 'Lily']}, {'Lily moved the skirt to the envelope': ['Lily', 'James']}, {'The envelope is in the TV room': ['James', 'Lily']}, {'Olivia loves the skirt': ['Olivia']}, {'James exited the TV room': ['James', 'Lily', 'Olivia']}]"
4,4,first_order_1_no_tom,"['Hunter entered the lounge', 'Abigail entered the master bedroom', 'Oliver entered the master bedroom', 'The peas is in the cupboard', 'The cupboard is in the master bedroom', 'Abigail exited the master bedroom', 'Abigail entered the master bedroom', 'Oliver moved the peas to the bottle', 'The bottle is in the master bedroom']","[['Hunter'], ['Abigail'], ['Oliver', 'Abigail'], ['Abigail', 'Oliver'], ['Abigail', 'Oliver'], ['Abigail', 'Oliver'], ['Abigail', 'Oliver'], ['Oliver', 'Abigail'], ['Oliver', 'Abigail']]","[{'Hunter entered the lounge': ['Hunter']}, {'Abigail entered the master bedroom': ['Abigail']}, {'Oliver entered the master bedroom': ['Oliver', 'Abigail']}, {'The peas is in the cupboard': ['Abigail', 'Oliver']}, {'The cupboard is in the master bedroom': ['Abigail', 'Oliver']}, {'Abigail exited the master bedroom': ['Abigail', 'Oliver']}, {'Abigail entered the master bedroom': ['Abigail', 'Oliver']}, {'Oliver moved the peas to the bottle': ['Oliver', 'Abigail']}, {'The bottle is in the master bedroom': ['Oliver', 'Abigail']}]"
5,5,first_order_1_tom,"['Mia entered the office', 'Olivia entered the office', 'Mia loves the pajamas', 'The banana is in the bottle', 'The bottle is in the office', 'Olivia exited the office', 'Mia moved the banana to the cupboard', 'The cupboard is in the office', 'Mia exited the office', 'Olivia entered the bathroom']","[['Mia'], ['Olivia', 'Mia'], ['Mia'], ['Mia', 'Olivia'], ['Mia', 'Olivia'], ['Olivia', 'Mia'], ['Mia'], ['Mia'], ['Mia'], ['Olivia']]","[{'Mia entered the office': ['Mia']}, {'Olivia entered the office': ['Olivia', 'Mia']}, {'Mia loves the pajamas': ['Mia']}, {'The banana is in the bottle': ['Mia', 'Olivia']}, {'The bottle is in the office': ['Mia', 'Olivia']}, {'Olivia exited the office': ['Olivia', 'Mia']}, {'Mia moved the banana to the cupboard': ['Mia']}, {'The cupboard is in the office': ['Mia']}, {'Mia exited the office': ['Mia']}, {'Olivia entered the bathroom': ['Olivia']}]"
7,7,first_order_1_no_tom,"['Avery entered the attic', 'Chloe entered the den', 'Noah likes the pineapple', 'Noah entered the den', 'Chloe hates the lime', 'The orange is in the suitcase', 'The suitcase is in the den', 'Chloe moved the orange to the box', 'The box is in the den', 'Noah exited the den']","[['Avery'], ['Chloe'], ['Noah'], ['Noah', 'Chloe'], ['Chloe'], ['Chloe', 'Noah'], ['Chloe', 'Noah'], ['Chloe', 'Noah'], ['Chloe', 'Noah'], ['Noah', 'Chloe']]","[{'Avery entered the attic': ['Avery']}, {'Chloe entered the den': ['Chloe']}, {'Noah likes the pineapple': ['Noah']}, {'Noah entered the den': ['Noah', 'Chloe']}, {'Chloe hates the lime': ['Chloe']}, {'The orange is in the suitcase': ['Chloe', 'Noah']}, {'The suitcase is in the den': ['Chloe', 'Noah']}, {'Chloe moved the orange to the box': ['Chloe', 'Noah']}, {'The box is in the den': ['Chloe', 'Noah']}, {'Noah exited the den': ['Noah', 'Chloe']}]"
8,8,second_order_0_no_tom,"['Charlotte entered the living room', 'Lucas entered the living room', 'The pineapple is in the drawer', 'The drawer is in the living room', 'Charlotte moved the pineapple to the envelope', 'The envelope is in the living room', 'Evelyn entered the living room', 'Lucas exited the living room']","[['Charlotte'], ['Lucas', 'Charlotte'], ['Charlotte', 'Lucas'], ['Charlotte', 'Lucas'], ['Charlotte', 'Lucas'], ['Charlotte', 'Lucas'], ['Evelyn', 'Charlotte', 'Lucas'], ['Lucas', 'Charlotte', 'Evelyn']]","[{'Charlotte entered the living room': ['Charlotte']}, {'Lucas entered the living room': ['Lucas', 'Charlotte']}, {'The pineapple is in the drawer': ['Charlotte', 'Lucas']}, {'The drawer is in the living room': ['Charlotte', 'Lucas']}, {'Charlotte moved the pineapple to the envelope': ['Charlotte', 'Lucas']}, {'The envelope is in the living room': ['Charlotte', 'Lucas']}, {'Evelyn entered the living room': ['Evelyn', 'Charlotte', 'Lucas']}, {'Lucas exited the living room': ['Lucas', 'Charlotte', 'Evelyn']}]"
9,9,first_order_0_no_tom,"['William entered the front yard', 'Nathan entered the front yard', 'The grapefruit is in the box', 'The box is in the front yard', 'Jack entered the basement', 'Nathan moved the grapefruit to the envelope', 'The envelope is in the front yard', 'Jack exited the basement', 'William exited the front yard', 'William entered the front yard']","[['William'], ['Nathan', 'William'], ['William', 'Nathan'], ['William', 'Nathan'], ['Jack'], ['Nathan', 'William'], ['William', 'Nathan'], ['Jack'], ['William', 'Nathan'], ['William', 'Nathan']]","[{'William entered the front yard': ['William']}, {'Nathan entered the front yard': ['Nathan', 'William']}, {'The grapefruit is in the box': ['William', 'Nathan']}, {'The box is in the front yard': ['William', 'Nathan']}, {'Jack entered the basement': ['Jack']}, {'Nathan moved the grapefruit to the envelope': ['Nathan', 'William']}, {'The envelope is in the front yard': ['William', 'Nathan']}, {'Jack exited the basement': ['Jack']}, {'William exited the front yard': ['William', 'Nathan']}, {'William entered the front yard': ['William', 'Nathan']}]"
12,12,second_order_1_no_tom,"['Jackson dislikes the coat', 'Mason entered the porch', 'Mason exited the porch', 'Aria entered the pantry', 'Jackson entered the pantry', 'The plum is in the envelope', 'The envelope is in the pantry', 'Jackson moved the plum to the bottle', 'The bottle is in the pantry', 'Aria exited the pantry']","[['Jackson'], ['Mason'], ['Mason'], ['Aria'], ['Jackson', 'Aria'], ['Aria', 'Jackson'], ['Aria', 'Jackson'], ['Jackson', 'Aria'], ['Aria', 'Jackson'], ['Aria', 'Jackson']]","[{'Jackson dislikes the coat': ['Jackson']}, {'Mason entered the porch': ['Mason']}, {'Mason exited the porch': ['Mason']}, {'Aria entered the pantry': ['Aria']}, {'Jackson entered the pantry': ['Jackson', 'Aria']}, {'The plum is in the envelope': ['Aria', 'Jackson']}, {'The envelope is in the pantry': ['Aria', 'Jackson']}, {'Jackson moved the plum to the bottle': ['Jackson', 'Aria']}, {'The bottle is in the pantry': ['Aria', 'Jackson']}, {'Aria exited the pantry': ['Aria', 'Jackson']}]"
13,13,first_order_1_no_tom,"['Hannah entered the workshop', 'Aiden entered the workshop', 'Hannah dislikes the cabbage', 'The sweatshirt is in the bottle', 'The bottle is in the workshop', 'Sophia entered the workshop', 'Hannah moved the sweatshirt to the drawer', 'The drawer is in the workshop', 'Hannah loves the undershirt', 'Aiden exited the workshop', 'Hannah exited the workshop', 'Aiden entered the hall']","[['Hannah'], ['Aiden', 'Hannah'], ['Hannah'], ['Hannah', 'Aiden'], ['Hannah', 'Aiden'], ['Sophia', 'Hannah', 'Aiden'], ['Hannah', 'Aiden', 'Sophia'], ['Hannah', 'Aiden', 'Sophia'], ['Hannah'], ['Aiden', 'Hannah', 'Sophia'], ['Hannah', 'Sophia'], ['Aiden']]","[{'Hannah entered the workshop': ['Hannah']}, {'Aiden entered the workshop': ['Aiden', 'Hannah']}, {'Hannah dislikes the cabbage': ['Hannah']}, {'The sweatshirt is in the bottle': ['Hannah', 'Aiden']}, {'The bottle is in the workshop': ['Hannah', 'Aiden']}, {'Sophia entered the workshop': ['Sophia', 'Hannah', 'Aiden']}, {'Hannah moved the sweatshirt to the drawer': ['Hannah', 'Aiden', 'Sophia']}, {'The drawer is in the workshop': ['Hannah', 'Aiden', 'Sophia']}, {'Hannah loves the undershirt': ['Hannah']}, {'Aiden exited the workshop': ['Aiden', 'Hannah', 'Sophia']}, {'Hannah exited the workshop': ['Hannah', 'Sophia']}, {'Aiden entered the hall': ['Aiden']}]"
14,14,first_order_0_no_tom,"['Jayden entered the crawlspace', 'Aria entered the crawlspace', 'The jacket is in the box', 'The box is in the crawlspace', 'Jayden moved the jacket to the basket', 'The basket is in the crawlspace', 'Aria exited the crawlspace', 'Jayden exited the crawlspace', 'Aria entered the lounge']","[['Jayden'], ['Aria', 'Jayden'], ['Jayden', 'Aria'], ['Jayden', 'Aria'], ['Jayden', 'Aria'], ['Jayden', 'Aria'], ['Aria', 'Jayden'], ['Jayden'], ['Aria']]","[{'Jayden entered the crawlspace': ['Jayden']}, {'Aria entered the crawlspace': ['Aria', 'Jayden']}, {'The jacket is in the box': ['Jayden', 'Aria']}, {'The box is in the crawlspace': ['Jayden', 'Aria']}, {'Jayden moved the jacket to the basket': ['Jayden', 'Aria']}, {'The basket is in the crawlspace': ['Jayden', 'Aria']}, {'Aria exited the crawlspace': ['Aria', 'Jayden']}, {'Jayden exited the crawlspace': ['Jayden']}, {'Aria entered the lounge': ['Aria']}]"
